,"Country, State",Lat,Long_,Incidence_Rate,Case-Fatality_Ratio,Confirmed,Deaths,Recovered,Active,Country
0,Afghanistan,33.93911,67.709953,60.48549564442009,1.8941646139471675,23546,446,3928,19172,Afghanistan
1,Albania,41.1533,20.1683,49.20425324900965,2.5423728813559316,1416,36,1034,346,Albania
2,Algeria,28.0339,1.6596,24.396227017906966,7.020003739016639,10698,751,7322,2625,Algeria
3,Andorra,42.5063,1.5218,1103.992752216398,5.9788980070339965,853,51,781,21,Andorra
4,Angola,-11.2027,17.8739,0.3955423232111416,3.8461538461538463,130,5,42,83,Angola
5,Antigua and Barbuda,17.0608,-61.7964,26.550118454374644,11.538461538461537,26,3,20,3,Antigua and Barbuda
6,Argentina,-38.4161,-63.6167,63.643114267069684,2.7291058267278543,28764,785,8743,19236,Argentina
7,Armenia,40.0691,45.0382,515.6865775703169,1.6883711798966037,15281,258,5639,9384,Armenia
8,"Australia, Australian Capital Territory",-35.4735,149.0124,25.227750525578127,2.7777777777777777,108,3,104,1,Australia
9,"Australia, New South Wales",-33.8688,151.2093,38.42079329884208,1.5389547932029497,3119,48,2763,308,Australia
10,"Australia, Northern Territory",-12.4634,130.8456,11.807817589576548,0.0,29,0,29,0,Australia
11,"Australia, Queensland",-27.4698,153.0251,20.81907926888867,0.5633802816901409,1065,6,1051,8,Australia
12,"Australia, South Australia",-34.9285,138.6007,25.04981497295759,0.9090909090909092,440,4,436,0,Australia
13,"Australia, Tasmania",-42.8821,147.3272,42.57703081232493,5.701754385964912,228,13,213,2,Australia
14,"Australia, Victoria",-37.8136,144.9631,25.686661940602427,1.1156782149148559,1703,19,1632,52,Australia
15,"Australia, Western Australia",-31.9505,115.8605,22.88451303885045,1.495016611295681,602,9,575,18,Australia
16,Austria,47.5162,14.5501,189.4652691419435,3.9556962025316458,17064,675,15985,404,Austria
17,Azerbaijan,40.1431,47.5769,90.91469473601157,1.2258624430462142,9218,113,5116,3989,Azerbaijan
18,Bahamas,25.025885,-78.035889,26.192123036862235,10.679611650485436,103,11,68,24,Bahamas
