"Country, State",Lat,Long_,Incidence_Rate,Case-Fatality_Ratio,Confirmed,Deaths,Recovered,Active,Country
Afghanistan,33.93911,67.709953,61.91376097943655,1.8712140071363368,24102,451,4201,19450,Afghanistan
Albania,41.1533,20.1683,50.87219403711168,2.459016393442623,1464,36,1039,389,Albania
Algeria,28.0339,1.6596,24.65163713437785,7.030527289546717,10810,760,7420,2630,Algeria
Andorra,42.5063,1.5218,1103.992752216398,5.9788980070339965,853,51,781,21,Andorra
Angola,-11.2027,17.8739,0.41988338925490415,4.3478260869565215,138,6,61,71,Angola
Antigua and Barbuda,17.0608,-61.7964,26.550118454374644,11.538461538461537,26,3,20,3,Antigua and Barbuda
Argentina,-38.4161,-63.6167,67.03059889865375,2.6902129064202014,30295,815,9083,20397,Argentina
Armenia,40.0691,45.0382,540.0855956701361,1.6495876030992251,16004,264,6081,9659,Armenia
"Australia, Australian Capital Territory",-35.4735,149.0124,25.227750525578127,2.7777777777777777,108,3,104,1,Australia
"Australia, New South Wales",-33.8688,151.2093,38.531658043853156,1.5345268542199488,3128,48,2766,314,Australia
"Australia, Northern Territory",-12.4634,130.8456,11.807817589576548,0.0,29,0,29,0,Australia
"Australia, Queensland",-27.4698,153.0251,20.81907926888867,0.5633802816901409,1065,6,1051,8,Australia
"Australia, South Australia",-34.9285,138.6007,25.04981497295759,0.9090909090909092,440,4,436,0,Australia
"Australia, Tasmania",-42.8821,147.3272,42.57703081232493,5.701754385964912,228,13,213,2,Australia
"Australia, Victoria",-37.8136,144.9631,25.943076064495692,1.1046511627906976,1720,19,1657,44,Australia
"Australia, Western Australia",-31.9505,115.8605,22.88451303885045,1.495016611295681,602,9,582,11,Australia
Austria,47.5162,14.5501,189.62071415882042,3.964164422063473,17078,677,16012,389,Austria
Azerbaijan,40.1431,47.5769,94.38637758989269,1.2016718913270636,9570,115,5309,4146,Azerbaijan
Bahamas,25.025885,-78.035889,26.192123036862235,10.679611650485436,103,11,68,24,Bahamas
Bahrain,26.0275,50.55,1040.9718479792052,0.20888612883193136,17713,37,12191,5485,Bahrain
Bangladesh,23.685,90.3563,51.23523961468725,1.3498619324713494,84379,1139,17828,65412,Bangladesh
Barbados,13.1939,-59.5432,33.40629360652258,7.291666666666668,96,7,83,6,Barbados
Belarus,53.7098,27.9534,563.4373094109089,0.5691102721586747,53241,303,29111,23827,Belarus
Belgium,50.8333,4.469936,516.9972844656803,16.105343970092463,59918,9650,16547,33721,Belgium
Belize,17.1899,-88.4976,5.02991542197218,10.0,20,2,16,2,Belize
Benin,9.3077,2.3158,3.3984432160556977,1.4563106796116505,412,6,222,184,Benin
Bhutan,27.5142,90.4336,8.553521718169236,0.0,66,0,21,45,Bhutan
Bolivia,-16.2902,-63.5887,152.8480739660631,3.2787804057841052,17842,585,2768,14489,Bolivia
Bosnia and Herzegovina,43.9159,17.6791,88.1793091045975,5.634289664707914,2893,163,2119,611,Bosnia and Herzegovina
Botswana,-22.3285,24.6849,2.551427204592569,1.6666666666666667,60,1,24,35,Botswana
"Brazil, Acre",-9.0238,-70.812,1081.0320488471373,2.6851269142018044,9534,256,5043,4235,Brazil
"Brazil, Alagoas",-9.5713,-36.782,625.8545309956352,3.4614832192272704,20887,723,13761,6403,Brazil
"Brazil, Amapa",0.902,-52.003,1929.9280740566446,1.954417350814851,16322,319,7311,8692,Brazil
"Brazil, Amazonas",-3.4168,-65.8561,1351.784021462159,4.399742976475208,56026,2465,45238,8323,Brazil
"Brazil, Bahia",-12.5797,-41.7007,240.62291401422058,2.9870347602548337,35788,1069,15279,19440,Brazil
"Brazil, Ceara",-5.4984,-39.3206,836.9289005196846,6.318282327388817,76429,4829,54956,16644,Brazil
"Brazil, Distrito Federal",-15.7998,-47.8645,728.2603072098401,1.3343048408397469,21959,293,12483,9183,Brazil
"Brazil, Espirito Santo",-19.1834,-40.3089,645.2913291777089,3.9410766620391793,25932,1022,14224,10686,Brazil
"Brazil, Goias",-15.827,-49.8362,113.13193948324637,2.619647355163728,7940,208,0,7732,Brazil
"Brazil, Maranhao",-4.9609,-45.2744,831.9080458860345,2.4397288435073654,58859,1436,33561,23862,Brazil
"Brazil, Mato Grosso",-12.6819,-56.9211,158.53218254963605,3.4757422157856626,5524,192,2042,3290,Brazil
"Brazil, Mato Grosso do Sul",-20.7722,-54.7852,116.40936658191151,0.865533230293663,3235,28,1701,1506,Brazil
"Brazil, Minas Gerais",-18.5122,-44.555,97.37920318642666,2.20238672746677,20614,454,10647,9513,Brazil
"Brazil, Para",-1.9981,-54.9306,796.3626071082133,6.09692015764122,68510,4177,55864,8469,Brazil
"Brazil, Paraiba",-7.24,-36.782,683.2536652027176,2.2692503824579298,27454,623,6477,20354,Brazil
"Brazil, Parana",-25.2521,-52.0215,80.75069724330781,3.3791833640203617,9233,312,3044,5877,Brazil
"Brazil, Pernambuco",-8.8137,-36.9541,467.4130808487245,8.470819995075107,44671,3784,27903,12984,Brazil
"Brazil, Piaui",-7.7183,-42.7289,300.1625001871242,3.4096692111959284,9825,335,681,8809,Brazil
"Brazil, Rio Grande do Norte",-5.4026,-36.9541,393.2015399561943,3.8653999564870554,13789,533,1993,11263,Brazil
"Brazil, Rio Grande do Sul",-30.0346,-51.2177,128.56370513091971,2.3518151363916044,14627,344,12027,2256,Brazil
"Brazil, Rio de Janeiro",-22.9068,-43.1729,456.6247337161785,9.63011822010249,78836,7592,62375,8869,Brazil
"Brazil, Rondonia",-11.5057,-63.5806,658.8923743476488,2.6387702818104186,11710,309,4142,7259,Brazil
"Brazil, Roraima",-2.7376,-62.0751,1129.4883625720374,2.8792750657702433,6842,197,1754,4891,Brazil
"Brazil, Santa Catarina",-27.2423,-50.2189,185.57422773709428,1.451564380264741,13296,193,9218,3885,Brazil
"Brazil, Sao Paulo",-23.5505,-46.6333,376.47774456304603,6.12060737527115,172875,10581,49295,112999,Brazil
"Brazil, Sergipe",-10.5741,-37.3857,559.7086348086045,2.456085807554796,12866,316,4732,7818,Brazil
"Brazil, Tocantins",-10.1753,-48.2982,440.66055213858016,1.8756312220458808,6931,130,3685,3116,Brazil
Brunei,4.5353,114.7277,32.229823787438605,1.4184397163120568,141,2,138,1,Brunei
Bulgaria,42.7339,25.4858,47.0033223260744,5.2663808940600125,3266,172,1723,1371,Bulgaria
Burkina Faso,12.2383,-1.5616,4.2672732956046415,5.941704035874438,892,53,799,40,Burkina Faso
Burma,21.9162,95.956,0.4796930493800436,2.2988505747126435,261,6,167,88,Burma
Burundi,-3.3731,29.9189,0.7148395046549088,1.1764705882352942,85,1,45,39,Burundi
Cabo Verde,16.5388,-23.0418,130.57835780628358,0.8264462809917356,726,6,294,426,Cabo Verde
Cambodia,11.55,104.9167,0.765597356440178,0.0,128,0,125,3,Cambodia
Cameroon,3.848,11.5021,32.70189284477612,2.4421149637138577,8681,212,4836,3633,Cameroon
"Canada, Alberta",53.9333,-116.5765,167.295620856414,2.031694433157253,7383,150,6830,403,Canada
"Canada, British Columbia",53.7267,-127.6476,53.0041869198815,6.2015503875969005,2709,168,2354,187,Canada
"Canada, Diamond Princess",,,,,0,1,0,-1,Canada
"Canada, Grand Princess",,,,0.0,13,0,13,0,Canada
"Canada, Manitoba",53.7609,-98.8139,21.996098777728328,2.31023102310231,303,7,289,7,Canada
"Canada, New Brunswick",46.5653,-66.4619,20.128385767564577,1.2738853503184713,157,2,126,29,Canada
